,Behav,days.med,days.mean,days.min,days.max,days.sd,fix.med,fix.mean,fix.min,fix.max,fix.sd,Locations,hr.med,hr.mean,hr.min,hr.max,hr.sd,Duration,rad.med,rad.mean,rad.min,rad.max,rad.sd,Radius,rev.med,rev.mean,rev.min,rev.max,rev.sd,Revisits,away.med,away.mean,away.min,away.max,away.sd,Away,count,percent,Percent
1,Moose Kill,-28,-37.43292683,-173,0,35.55814923,22,31.39634146,2,178,28.98754099,31.4 +/-  28.99,92,126.9971159,4,674,120.471754,127 +/-  120.47,247,238.7743902,12,479,102.5330906,238.77 +/-  102.53,3,3.737804878,0,17,3.5305204,3.74 +/-  3.53,0.421472937,0.416631617,0,0.944444444,0.26973869,0.42 +/-  0.27,164,8.645229309,8.65
2,Other,-21,-25.28076923,-156,7,23.36371009,5,8.530769231,2,67,9.557942349,8.53 +/-  9.56,32,55.38834692,1.5,450,68.3755011,55.39 +/-  68.38,145.5,155.9307692,3,474,108.7886753,155.93 +/-  108.79,1,1.457692308,0,17,2.230479125,1.46 +/-  2.23,0.4590301,0.419933802,0,0.958333333,0.379856611,0.42 +/-  0.38,260,13.70585134,13.71
3,Revisit,-8,-15.28773585,-133,96,39.51983413,6,8.933962264,2,72,9.806438419,8.93 +/-  9.81,16.5,44.89565943,1.5,480,67.88484736,44.9 +/-  67.88,140,152.6132075,1,451,92.77344067,152.61 +/-  92.77,0,1.009433962,0,16,1.847223011,1.01 +/-  1.85,0,0.284600309,0,0.962264151,0.357877147,0.28 +/-  0.36,212,11.17554033,11.18
4,Resting,-19,-23.92207792,-156,6,19.98291343,7,9.535064935,2,115,11.08980583,9.54 +/-  11.09,15.9767,42.83208468,1.5,426,62.84757355,42.83 +/-  62.85,121,139.5350649,1,479,108.5642064,139.54 +/-  108.56,0,1.064935065,0,15,1.989148048,1.06 +/-  1.99,0,0.266822556,0,0.951219512,0.33085548,0.27 +/-  0.33,385,20.29520295,20.3
5,Scavenge,-20,-25.93877551,-267,52,37.47459073,8,13.89285714,2,94,15.19256735,13.89 +/-  15.19,45,81.89518214,1.9631,450,95.6963351,81.9 +/-  95.7,198,198.9540816,5,513,117.2280396,198.95 +/-  117.23,1,2.469387755,0,17,3.41551237,2.47 +/-  3.42,0.535897436,0.43458069,0,0.948717949,0.355801286,0.43 +/-  0.36,196,10.33210332,10.33
6,Probable Kill,-21,-28.16086957,-157,4,25.28328994,6,8.804347826,2,73,8.438370373,8.8 +/-  8.44,18,48.34146435,1.5,436,66.60199189,48.34 +/-  66.6,146,156.8043478,3,496,106.1432705,156.8 +/-  106.14,1,1.12173913,0,13,1.812849941,1.12 +/-  1.81,0.148351648,0.32273016,0,0.954545455,0.35918416,0.32 +/-  0.36,230,12.12440696,12.12
7,Calf Kill,-16,-28.14130435,-146,2,31.34058967,16,19.32608696,4,72,13.18099589,19.33 +/-  13.18,63.00125,75.08588587,6,366,64.6343975,75.09 +/-  64.63,232.5,233.6630435,9,439,100.4022982,233.66 +/-  100.4,1,1.760869565,0,7,1.799692069,1.76 +/-  1.8,0.362373737,0.345108025,0,0.891891892,0.290370364,0.35 +/-  0.29,92,4.849762783,4.85
8,Beaver Kill,-20,-29.15428571,-270,0,34.797182,7,9.828571429,2,61,9.334418187,9.83 +/-  9.33,22,46.09108114,1.9833,280.0167,54.24202662,46.09 +/-  54.24,141,148.7314286,4,510,95.92383165,148.73 +/-  95.92,0,1.028571429,0,11,1.623918106,1.03 +/-  1.62,0,0.314537579,0,0.956521739,0.357984669,0.31 +/-  0.36,175,9.225092251,9.23
9,Deer Kill,-18.5,-28.4375,-148,0,30.44695859,13,18.20833333,2,66,15.68568711,18.21 +/-  15.69,47,76.0240625,4,450,78.91619437,76.02 +/-  78.92,210.5,209.4375,22,523,121.9139749,209.44 +/-  121.91,1.5,2.25,0,17,3.049241273,2.25 +/-  3.05,0.224080268,0.361528286,0,0.93442623,0.319204051,0.36 +/-  0.32,48,2.530311017,2.53
10,Den,-30,-46.1047619,-175,37,47.12624694,27,54.37142857,2,260,60.50687455,54.37 +/-  60.51,182,277.1192876,2,1345.5,288.6191024,277.12 +/-  288.62,241,232.8190476,15,489,116.65554,232.82 +/-  116.66,5,8.723809524,0,40,9.437542907,8.72 +/-  9.44,0.529411765,0.469726298,0,0.879699248,0.271004131,0.47 +/-  0.27,105,5.535055351,5.54
11,Rendez-vous,-47,-58.73333333,-169,-3,51.5611009,22.5,40,3,130,36.90808714,40 +/-  36.91,167.00835,217.28425,4,656,189.304273,217.28 +/-  189.3,276,255.2,69,488,116.0809468,255.2 +/-  116.08,5,7.1,0,20,6.509144761,7.1 +/-  6.51,0.583659439,0.498487388,0,0.923076923,0.301685966,0.5 +/-  0.3,30,1.581444386,1.58